timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1753340631392,28,Grow-33,200,OK,Thread Group 1-2,text,true,,19750,211,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/99443-750c8077db465049.js,27,0,0
1753340631420,33,Grow-34,200,OK,Thread Group 1-2,text,true,,50103,211,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/94884-d12dafbf7e08326d.js,32,0,0
1753340631454,27,Grow-35,200,OK,Thread Group 1-2,text,true,,56810,211,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/33585-9b1e7fc584dca694.js,21,0,0
1753340631482,45,Grow-36,200,OK,Thread Group 1-2,text,true,,91794,239,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/chunks/pages/mutual-funds/%5BsearchId%5D-3c9efdd2bc3ecc37.js,43,0,0
1753340631528,35,Grow-37,200,OK,Thread Group 1-2,text,true,,78276,218,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/eX38EL8pCEPr8MIphpsk7/_buildManifest.js,27,0,0
1753340631563,21,Grow-38,200,OK,Thread Group 1-2,text,true,,1434,216,3,3,https://assets-netstorage.groww.in/web-assets/billion_groww_desktop/prod/_next/static/eX38EL8pCEPr8MIphpsk7/_ssgManifest.js,21,0,0
1753340631584,26,Grow-39,200,OK,Thread Group 1-2,bin,true,,48605,161,3,3,https://assets-netstorage.groww.in/mf-assets/logos/motilal_groww.png,25,0,0
1753340631610,11,Grow-40,200,OK,Thread Group 1-2,text,true,,1669,172,3,3,https://groww.in/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,11,0,0
1753343779084,50,NAV time,200,OK,Thread Group 1-3,text,true,,33981,163,3,3,https://staticassets.zerodha.com/coin/historical-nav/INF760K01JC6.json,48,0,23
1753343778751,84,NAV time,200,OK,Thread Group 1-2,text,true,,62788,163,2,2,https://staticassets.zerodha.com/coin/historical-nav/INF247L01445.json,76,0,49
